trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268518427;19.07.2011;18:44:34;SBER03;EQBR;102,33;50;5116,5;;S
1268518428;19.07.2011;18:44:34;SBER03;EQBR;102,33;200;20466;;S
1268518429;19.07.2011;18:44:34;SBER03;EQBR;102,33;100;10233;;S
1268518430;19.07.2011;18:44:34;SBER03;EQBR;102,33;610;62421,3;;S
1268518431;19.07.2011;18:44:34;LKOH;EQBR;1827,3;2;3654,6;;B
1268518432;19.07.2011;18:44:34;LKOH;EQBR;1827,7;4;7310,8;;B
1268518433;19.07.2011;18:44:34;GAZP;EQNE;199,8;250;49950;;B
1268518434;19.07.2011;18:44:34;GAZP;EQNE;199,76;130;25968,8;;S
1268518435;19.07.2011;18:44:34;GAZP;EQNE;199,75;90;17977,5;;S
1268518436;19.07.2011;18:44:34;GAZP;EQNE;199,75;30;5992,5;;S
1268518437;19.07.2011;18:44:34;GAZP;EQNE;199,75;250;49937,5;;S
1268518438;19.07.2011;18:44:34;VTBR;EQNL;0,08539;350000;29886,5;;B
1268518439;19.07.2011;18:44:34;OMZZP;EQNE;6063,7;1;6063,7;;B
1268518440;19.07.2011;18:44:34;FEES;EQNL;0,37999;10000;3799,9;;B
1268518441;19.07.2011;18:44:34;RTKM;EQBR;199,51;800;159608;;S
1268518442;19.07.2011;18:44:34;RTKM;EQBR;199,5;6740;1344630;;S
1268518443;19.07.2011;18:44:34;RTKM;EQBR;199,5;300;59850;;S
1268518444;19.07.2011;18:44:34;RTKM;EQBR;199,5;500;99750;;S
1268518445;19.07.2011;18:44:34;RTKM;EQBR;199,31;80;15944,8;;S
1268518446;19.07.2011;18:44:34;RTKM;EQBR;199,3;2830;564019;;S
1268518447;19.07.2011;18:44:34;RTKM;EQBR;199,3;10;1993;;S
1268518448;19.07.2011;18:44:34;RTKM;EQBR;199,3;1000;199300;;S
1268518449;19.07.2011;18:44:34;RTKM;EQBR;199,3;750;149475;;S
1268518450;19.07.2011;18:44:34;RTKM;EQBR;199,23;10;1992,3;;S
1268518451;19.07.2011;18:44:34;RTKM;EQBR;199,22;220;43828,4;;S
1268518452;19.07.2011;18:44:34;RTKM;EQBR;199,22;200;39844;;S
1268518453;19.07.2011;18:44:34;RTKM;EQBR;199,22;100;19922;;S
1268518454;19.07.2011;18:44:34;RTKM;EQBR;199,21;100;19921;;S
1268518455;19.07.2011;18:44:34;RTKM;EQBR;199,16;910;181235,6;;S
1268518456;19.07.2011;18:44:34;RTKM;EQBR;199,05;10;1990,5;;S
1268518457;19.07.2011;18:44:34;RTKM;EQBR;199,04;50;9952;;S
1268518458;19.07.2011;18:44:34;RTKM;EQBR;199,04;1600;318464;;S
1268518459;19.07.2011;18:44:34;RTKM;EQBR;199,01;3780;752257,8;;S
1268518460;19.07.2011;18:44:34;RTKM;EQBR;199;10000;1990000;;S
1268518461;19.07.2011;18:44:34;RTKM;EQBR;199;230;45770;;S
1268518462;19.07.2011;18:44:34;RTKM;EQBR;199;150;29850;;S
1268518463;19.07.2011;18:44:34;PIKK;EQNL;106,69;700;74683;;B
1268518464;19.07.2011;18:44:34;PIKK;EQNL;106,7;3210;342507;;B
1268518465;19.07.2011;18:44:34;SBERP03;EQBR;80,35;200;16070;;S
1268518466;19.07.2011;18:44:34;ROSN;EQNL;231,95;100;23195;;B
1268518467;19.07.2011;18:44:34;MRKH;EQBR;3,73;31000;115630;;B
1268518468;19.07.2011;18:44:34;RTKM;EQBR;198,95;100;19895;;S
1268518469;19.07.2011;18:44:34;RTKM;EQBR;198,82;50;9941;;S
1268518470;19.07.2011;18:44:34;RTKM;EQBR;198,8;950;188860;;S
1268518471;19.07.2011;18:44:35;VTBR;EQNL;0,08539;180000;15370,2;;B
1268518472;19.07.2011;18:44:35;LKOH;EQBR;1826,9;50;91345;;S
1268518473;19.07.2011;18:44:35;VTBR;EQNL;0,08534;100000;8534;;S
1268518474;19.07.2011;18:44:35;RTKM;EQBR;198,8;170;33796;;S
1268518475;19.07.2011;18:44:35;LKOH;EQBR;1826,9;7;12788,3;;S
1268518476;19.07.2011;18:44:35;VTBR;EQNL;0,08534;10000;853,4;;S
1268518477;19.07.2011;18:44:35;GAZP;EQNE;199,76;20;3995,2;;S
1268518478;19.07.2011;18:44:35;SBER03;EQBR;102,37;520;53232,4;;B
1268518479;19.07.2011;18:44:35;MGNT;EQBR;4003,9;1;4003,9;;B
1268518480;19.07.2011;18:44:35;RTKM;EQBR;199;10;1990;;B
1268518481;19.07.2011;18:44:35;ROSN;EQNL;231,95;150;34792,5;;B
1268518482;19.07.2011;18:44:35;VTBR;EQNL;0,08539;50000;4269,5;;B
1268518483;19.07.2011;18:44:36;LKOH;EQBR;1827,7;1;1827,7;;B
1268518484;19.07.2011;18:44:36;LKOH;EQBR;1827,8;3;5483,4;;B
1268518485;19.07.2011;18:44:36;LKOH;EQBR;1827,8;50;91390;;B
